AGENCY_PROJECST_013,Verify view Project in Social Mobilizer ,Users can view the projects assigned to social mobilizer ,"1.Login to Agency App
2.Go to Side Bar>Social Mobilizer 
3. View Details of Social Mobilizer 
",System Users should be able to view the Projects that has been assigned to the particluar vendor ,High,v1.0,Not avaibale ,Fail,"September 21,2021",
AGENCY_PROJECST_014,Verify Bulk Beneficiary Upload ,The beneficiaries list for the project can be uploaded in bulk while adding project ,"1.Login to Agency App
2.Go to Side Bar>project
3. Click on Add new 
4. Upload Excel file of Beneficiry ",System user should be able to upload list of Beneficiaries in Bulk while adding the project ,High,v1.0,Admin can upload the list of Beneficiries in excel file in Beneficiry Upload section. We need to update the data tables accordingly,Fail,"September 21,2021",
AGENCY_PROJECST_015,Verify File support ,The upload file for beneficiary bulk upload is excel,"1.Login to Agency App
2.Go to Side Bar>project
3. Click on Add new 
4. Upload Excel file of Beneficiry ",System user should be able to upload the bulk upload file in excel format. ,High,v1.0,The excel file format of beneficiris list is supported in the app  ,Pass,"September 21,2021",
AGENCY_PROJECST_016,Verify File Suport ,The upload file for beneficiary bulk upload is excel,"1.Login to Agency App
2.Go to Side Bar>project
3. Click on Add new 
4. Upload Excel file of Beneficiry ","A error message should be displayed if, system user uploads file of other format. Only excel file is supported. ",High,v1.0,An error message of duplicate file is displayed if the file of other format is displayed. The proper error message should be given. ,Fail,"September 21,2021",
AGENCY_PROJECST_017,Verify Benficiry add ,"After uploading the excel file with list of beneficry, the beneficiry will be added in the rahat. They will be added in the project as wel ",,"After uploding the file, the list of beneficiries mentioned in the file should be added with their accurate details ",High,v1.0,"All the updated details are added with accurate details. If they are prerly placed in excel file. 
Format : Name|Temporary Address|address|Phone number|Govt ID ",Pass,"September 21,2021",
AGENCY_PROJECST_018,Verify View added Beneficiaries ,"After uploading the excel file with list of beneficry, the beneficiry will be added in the rahat.","1.Login to Agency App
2.Go to Side Bar>Beneficiray
",The added beneficiry should also be showed in beneficiry List ,High,v1.0,"all the beneficires added from bulk uploaded in showed in beneficires list. but the details cannot be edited. if clicked on Edit, the screen goes blank",Fail,"September 21,2021",
AGENCY_PROJECST_019,Verify View added Beneficiaries ,"After uploading the excel file with list of beneficry, the beneficiry will be added in the rahat project .","1.Login to Agency App
2.Go to Side Bar>project
3. View Project Details 
",The added beneficiry should also be showed in beneficiry List of the project ,High,v1.0,"Says ""no Data Available",Fail,"September 21,2021",
AGENCY_PROJECST_020,Verify View Project in Added beneficiry ,"After uploading the excel file with list of beneficry, the beneficiry will be added in the rahat project .","1.Login to Agency App
2.Go to Side Bar>Beneficiray
3. View Beneficiry details ",The project from where the beneficiry is added should be displayed in Beneficiry details. ,High,v1.0,Project llist is blank,Fail,"September 21,2021",
AGENCY_PROJECST_021,Verify Edit Project Details ,The Details of Project can be edited after adding ,"1.Login to Agency App
2.Go to Side Bar>project
3. View Project Details 
4. click on Edit ",System Users can edit the project Details ,High,v1.0,We can edit the details of project by going to Project details>Edit. ,Pass,"September 21,2021",
AGENCY_PROJECST_022,Verify Add budget(token or Package) in a project ,"Agency app has two types of balance for a project. 
1. Token 
2. Package ","1.Login to Agency App
2.Go to Side Bar>project
3. View Project Details 
4. Click on add budget ",System User Should be able to add budget in the system ,High,v1.0,Admin can add budget in the system. ,Pass,"September 21,2021",
AGENCY_PROJECST_023,Verify Add Token ,Agency can add token to the project ,"1.Login to Agency App
2.Go to Side Bar>project
3. View Project Details 
4. Click on add budget ",System user should be able to add token to the project.  ,High,v1.0,Admin can add token to the project ,Pass,"December 28,2021",
AGENCY_PROJECST_024,Verify Create Package ,Agency can create a package for a project ,"1.Login to Agency App
2.Go to Side Bar>project
3. View Project Details 
4. Click on add budget ",System shoul be able to create package for a project ,High,v1.3,Admin can create Package in a project ,Pass,"December 28,2021",
AGENCY_PROJECST_025,Verify package details ,Each pacakge have a basic details. ,,"The basic details of package should be :
- Package Name 
- Package Symbol 
- Quantity 
- Value in fiat currency
- Description
- List of items in a package ",High,v1.3,"The package has :
- Package Name 
- Package Symbol 
- Quantity 
- Value in fiat currency
- Category
- Description
- List of items in a package and qty
- Picture  ",Pass,"December 28,2021",
AGENCY_PROJECST_026,Verify  Mint package ,"After creating package, admin can increase the quantity of the package ","1. Add Project
2. Add Budget
3. Create Package
4. Mint Package ",System user should be able to increase the package quantity,High,v1.3,can increase the package quantity ,Pass,"December 28,2021",
AGENCY_PROJECST_027,Verify update Balance ,"In dashboard, you can view the status of Balance ","1.Login to Agency App
2.Go to Side Bar>project
3. View Project Details 
4. Click on add budget ",Balance update shoule be shown in project details ,High,v1.0,Only the Token status is shown in the diagram . ackage status is not shown in diagram ,Fail,"December 28,2021",
AGENCY_PROJECST_028,Verify Update Status of Project ,The project can be activated and deaactivated time and again. ,"1.Login to Agency App
2.Go to Side Bar>project
3. View Project Details 
4. Click on Activated /suspended ",System Users should be able to activate/Deactivate/complete  the project time and again. ,High,v1.0,There is Activated / Suspended toggle button to activate and deactivate the project . we need to add complete button ,Fail,"December 28,2021",
AGENCY_PROJECST_029,Verify View Details of Project ,The project Details can be viewed to the users ,"1.Login to Agency App
2.Go to Side Bar>project
3. View Project Details ","System Users should be able to view the details of project. 
The details includes:
Project:
Project Manager:
Location:
Financial Institution:
Description:
Beneficiary List 
Vendor List  
Social Mobilizer List:
Token Status:
Budget:
Project Status:(Active/Suspend)",High,v1.0,"Currently, the details of Project that can be viewed are: 
Project:
Project Manager:
Location:
Finanical Institution
Description:
Beneficiary List 
Vendor List  
Social Mobilizer list:
Balance Status:
Budget:
Project Status:(Active/Suspend)",Pass,"December 28,2021",
AGENCY_PROJECST_030,Verify View Beneficiary list ,The list of beneficiary assigned to the project ,"1.Login to Agency App
2.Go to Side Bar>project
3. View Project Details ","system users should be able to view the list of beneficiaries in the system .
Information:
Beneficiary:
Phone No.
Address",High,v1.0,Available ,Pass,"December 28,2021",
AGENCY_PROJECST_031,Verify Hyperlink Beneficiary ,Beneficiary list can direct the user to particular beneficiary if clicked on the beneficiary name ,"1.Login to Agency App
2.Go to Side Bar>project
3. View Project Details 
4. Click on Beneficiary name ",System user should be directed to the beneficiary details after clicking on beneficry name ,High,v1.3,Hyperlinked ,Pass,"December 28,2021",
AGENCY_PROJECST_032,Verify Bulk Beneficiary Upload ,The beneficiaries list for the project can be uploaded in bulk even later on after creatig the project ,"1.Login to Agency App
2.Go to Side Bar>project
3. View Project Details ",System user should be able to upload list of Beneficiaries in Bulk later after creating the project ,High,v1.3,Available. But not working properly ,Fail,"December 28,2021",
AGENCY_PROJECST_033,Verify generate QR code for beneficiaries in bulk ,Each beneficiary have their own QR code with their details printed on it ,"1.Login to Agency App
2.Go to Side Bar>project
3. View Project Details 
4. Click on Generate Bulk QR code",System Users should be able to generate QR code of beneficiarie in bulk. ,High,v1.3,I can generate the Bulk QR code by clicking on Bulk Generate QR code button. We don't need to set amount while generating QR code. ,Fail,"December 28,2021",
AGENCY_PROJECST_034,Verify option for QR code,The QR code can be printed or downloaded ,"1.Login to Agency App
2.Go to Side Bar>project
3. View Project Details 
4. Click on Generate Bulk QR code",System users should be able to select among downlod or print QR code. ,High,v1.0,"If my PC is connected to printer, I Can pront. else, the QR code is downloaded. we can make this process user frienndly ",Fail,"September 21,2021",
AGENCY_PROJECST_035,Verify Download QR codes,"After generating QR code, QR code can be downloaded  ","1.Login to Agency App
2.Go to Side Bar>project
3. View Project Details 
4. Click on Generate Bulk QR code","After generating QR code, it should be downloded in pdf format ",High,v1.0,the QR code is downloaded in pdf format,Pass,"September 21,2021",
AGENCY_PROJECST_036,Verify Print QR code ,"After generating QR code, it can be prinetd ","1.Login to Agency App
2.Go to Side Bar>project
3. View Project Details 
4. Click on Generate Bulk QR code","AFter generating qr code, it should be printed. ",High,v1.0,I can print the QR code if my PC is connected to printer,Pass,"September 21,2021",
AGENCY_PROJECST_037,Verify Issue Token in Bulk ,If required system users can issue token later as well ,"1.Login to Agency App
2.Go to Side Bar>project
3. View Project Details 
4. Click on Issue Bulk Token ",System users shoud be able to Issue token to beneficiaries in bulk later as well. ,High,v1.0,"To issue Token to beneficiaries in bulk, There is Bulk token Issue. ",Pass,"September 21,2021",
AGENCY_PROJECST_038,Verify Issue package in Bulk ,If required system users can issue package later as well ,"1.Login to Agency App
2.Go to Side Bar>project
3. View Project Details 
 ",System users shoud be able to Issue package to beneficiaries in bulk later as well. ,High,v1.3,Not available at the moment ,Fail,"December 28,2021",
AGENCY_PROJECST_039,Verify View Vendor List ,The assigned vendor of the project can be viewes ,"1.Login to Agency App
2.Go to Side Bar>project
3. View Project Details 
","System Users should be able to view the list of vendors assigned to the project . 
The Information of Vendors:
1. Vendor:
2. Phone No. 
3. Address
4. Balance",High,V1.3,Available ,Pass,"December 28,2021",
AGENCY_PROJECST_040,Verify Hyperlink Vendor,Vendor list can direct the user to particular vendor if clicked on the name ,"1.Login to Agency App
2.Go to Side Bar>project
3. View Project Details 
4. Click on Vendor name ",System user should be directed to the vendor details after clicking on name ,High,v1.0,Hyperlinked ,Pass,"December 28,2021",
AGENCY_PROJECST_041,Verify View Social Mobilizer List ,The assigned Social Mobilizer of the project can be viewed ,"1.Login to Agency App
2.Go to Side Bar>project
3. View Project Details 
",System Users should be able to view the list of Social Mobilizer assigned to the project.,High,v1.1,Available ,Pass,"December 28,2021",
AGENCY_PROJECST_042,Verify Hyperlink Social mobilizer ,Social Mobilizer  list can direct the user to particular social mobilizer  if clicked on the name ,"1.Login to Agency App
2.Go to Side Bar>project
3. View Project Details 
4. CLick on SOcial mobilizer name ",System user should be directed to the Social Mobilizer details after clicking on name ,High,v1.1,Hyperlinked ,Pass,"December 28,2021",
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
,,,,,,,v1.0,,,
